kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
11554435,K00063.01,Kepler-63 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,9.434141710,2.1360000e-05,-2.1360000e-05,177.8434600,1.770000e-03,-1.770000e-03,0.538,0.046,-0.434,2.81120,0.07750,-0.07750,3977.0,1.160e+02,-1.160e+02,5.73,0.78,-3.300e-01,791.0,,,92.39,35.49,-16.67,40.20,1,q1_q17_dr25_tce,5578.00,100.00,-111.00,4.518,0.035,-0.105,0.8860,0.1200,-0.0510,289.226170,49.548199,11.582
7051180,K00064.01,,CANDIDATE,CANDIDATE,1.0000,0,1,0,0,1.951082219,3.8880000e-06,-3.8880000e-06,157.5431600,1.590000e-03,-1.590000e-03,0.925,0.029,-0.721,1.69750,0.05340,-0.05340,1151.8,4.580e+01,-4.580e+01,10.35,0.77,-1.250e+00,2005.0,,,3822.26,832.84,-1056.73,30.10,1,q1_q17_dr25_tce,5302.00,71.00,-87.00,3.768,0.060,-0.045,2.4260,0.1810,-0.2930,296.510590,42.547440,13.143
3544595,K00069.01,Kepler-93 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.726740370,1.5700000e-06,-1.5700000e-06,134.9263960,2.710000e-04,-2.710000e-04,0.657,0.042,-0.449,2.92670,0.01640,-0.01640,273.1,1.100e+00,-1.100e+00,1.56,0.07,-7.000e-02,1028.0,,,264.08,40.00,-33.67,287.80,1,q1_q17_dr25_tce,5648.00,76.00,-76.00,4.472,0.030,-0.030,0.8940,0.0400,-0.0360,291.418300,38.672359,9.931
6850504,K00070.01,Kepler-20 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.854095934,4.9770000e-06,-4.9770000e-06,138.6080310,3.780000e-04,-3.780000e-04,0.422,0.034,-0.358,3.77680,0.02040,-0.02040,1034.4,4.500e+00,-4.500e+00,2.99,0.33,-2.700e-01,765.0,,,80.88,26.80,-19.06,252.80,1,q1_q17_dr25_tce,5465.00,109.00,-109.00,4.449,0.085,-0.085,0.9250,0.1010,-0.0830,287.698000,42.338718,12.498
6850504,K00070.02,Kepler-20 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.696121272,2.3940000e-06,-2.3940000e-06,134.5014000,5.400000e-04,-5.400000e-04,0.016,0.371,-0.016,2.46300,0.01810,-0.01810,383.4,3.300e+00,-3.300e+00,1.78,0.19,-1.600e-01,1095.0,,,340.33,112.79,-80.17,130.00,2,q1_q17_dr25_tce,5465.00,109.00,-109.00,4.449,0.085,-0.085,0.9250,0.1010,-0.0830,287.698000,42.338718,12.498
6850504,K00070.03,Kepler-20 d,CONFIRMED,CANDIDATE,0.5630,0,0,0,0,77.611442700,1.5360000e-04,-1.5360000e-04,164.7292000,1.680000e-03,-1.680000e-03,0.094,0.323,-0.094,7.17860,0.05630,-0.05630,814.5,8.400e+00,-8.400e+00,2.59,0.29,-2.300e-01,397.0,,,5.87,1.95,-1.38,100.50,3,q1_q17_dr25_tce,5465.00,109.00,-109.00,4.449,0.085,-0.085,0.9250,0.1010,-0.0830,287.698000,42.338718,12.498
6850504,K00070.04,Kepler-20 e,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,6.098556030,2.5360000e-05,-2.5360000e-05,135.9290600,3.770000e-03,-3.770000e-03,0.210,0.241,-0.210,2.98150,0.09900,-0.09900,84.4,3.800e+00,-3.800e+00,0.84,0.09,-8.000e-02,927.0,,,174.30,57.77,-41.06,24.80,4,q1_q17_dr25_tce,5465.00,109.00,-109.00,4.449,0.085,-0.085,0.9250,0.1010,-0.0830,287.698000,42.338718,12.498
6850504,K00070.05,Kepler-20 f,CONFIRMED,CANDIDATE,0.9630,0,0,0,0,19.577607300,1.4270000e-04,-1.4270000e-04,135.2032000,5.970000e-03,-5.970000e-03,0.049,0.394,-0.049,3.38200,0.17000,-0.17000,98.1,6.000e+00,-6.000e+00,0.90,0.10,-8.000e-02,628.0,,,36.82,12.20,-8.67,17.20,5,q1_q17_dr25_tce,5465.00,109.00,-109.00,4.449,0.085,-0.085,0.9250,0.1010,-0.0830,287.698000,42.338718,12.498
11904151,K00072.01,Kepler-10 b,CONFIRMED,FALSE POSITIVE,0.0000,1,0,0,0,0.837491225,3.0300000e-07,-3.0300000e-07,131.5748580,2.820000e-04,-2.820000e-04,0.022,0.388,-0.022,1.79600,0.01040,-0.01040,190.4,1.200e+00,-1.200e+00,1.43,0.08,-6.000e-02,1980.0,,,3630.32,654.58,-443.61,189.50,2,q1_q17_dr25_tce,5676.00,85.00,-68.00,4.347,0.030,-0.030,1.0440,0.0570,-0.0420,285.679380,50.241299,10.961
11904151,K00072.02,Kepler-10 c,CONFIRMED,CANDIDATE,0.9820,0,0,0,0,45.294222970,5.6000000e-05,-5.6000000e-05,138.6787250,9.870000e-04,-9.870000e-04,0.025,0.333,-0.025,6.83000,0.03430,-0.03430,477.1,3.700e+00,-3.700e+00,2.26,0.12,-9.000e-02,524.0,,,17.75,3.21,-2.17,134.80,1,q1_q17_dr25_tce,5676.00,85.00,-68.00,4.347,0.030,-0.030,1.0440,0.0570,-0.0420,285.679380,50.241299,10.961
7199397,K00075.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,105.881766700,1.3120000e-04,-1.3120000e-04,156.9793500,1.010000e-03,-1.010000e-03,0.539,0.044,-0.149,18.04400,0.10200,-0.10200,1556.3,6.300e+00,-6.300e+00,10.16,0.94,-1.270e+00,595.0,,,29.64,7.72,-8.11,301.80,1,q1_q17_dr25_tce,5903.00,79.00,-79.00,3.757,0.078,-0.052,2.4990,0.2330,-0.3110,291.497220,42.728481,10.775
10187017,K00082.01,Kepler-102 e,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,16.145671932,7.4400000e-06,-7.4400000e-06,134.7548770,3.940000e-04,-3.940000e-04,0.750,0.016,-0.514,3.72360,0.02500,-0.02500,941.1,4.200e+00,-4.200e+00,2.48,0.16,-1.000e-01,546.0,,,20.98,4.77,-3.16,242.70,1,q1_q17_dr25_tce,4900.00,98.00,-98.00,4.602,0.017,-0.049,0.7410,0.0480,-0.0300,281.482730,47.208031,11.492
10187017,K00082.02,Kepler-102 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.311747860,1.2260000e-05,-1.2260000e-05,134.0799100,1.000000e-03,-1.000000e-03,0.747,0.089,-0.528,3.18180,0.03140,-0.03140,275.9,3.600e+00,-3.600e+00,1.34,0.09,-5.000e-02,634.0,,,38.13,8.66,-5.75,81.70,2,q1_q17_dr25_tce,4900.00,98.00,-98.00,4.602,0.017,-0.049,0.7410,0.0480,-0.0300,281.482730,47.208031,11.492
10187017,K00082.03,Kepler-102 f,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,27.453614600,1.0770000e-04,-1.0770000e-04,145.0286600,3.450000e-03,-3.450000e-03,0.765,0.142,-0.556,3.74700,0.10100,-0.10100,136.4,5.300e+00,-5.300e+00,0.95,0.06,-4.000e-02,457.0,,,10.34,2.35,-1.56,27.50,3,q1_q17_dr25_tce,4900.00,98.00,-98.00,4.602,0.017,-0.049,0.7410,0.0480,-0.0300,281.482730,47.208031,11.492
10187017,K00082.04,Kepler-102 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.071361190,3.0850000e-05,-3.0850000e-05,139.9876300,3.810000e-03,-3.810000e-03,0.658,0.292,-0.433,2.75700,0.11100,-0.11100,65.7,3.200e+00,-3.200e+00,0.63,0.04,-2.000e-02,719.0,,,63.11,14.34,-9.52,22.40,4,q1_q17_dr25_tce,4900.00,98.00,-98.00,4.602,0.017,-0.049,0.7410,0.0480,-0.0300,281.482730,47.208031,11.492
10187017,K00082.05,Kepler-102 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.286919960,2.9470000e-05,-2.9470000e-05,135.8542700,4.520000e-03,-4.520000e-03,0.705,0.230,-0.494,2.57900,0.13600,-0.13600,41.5,2.900e+00,-2.900e+00,0.51,0.03,-2.000e-02,792.0,,,92.97,21.13,-14.02,15.80,5,q1_q17_dr25_tce,4900.00,98.00,-98.00,4.602,0.017,-0.049,0.7410,0.0480,-0.0300,281.482730,47.208031,11.492
10187017,K00082.06,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,22.409867700,1.6510000e-04,-1.6510000e-04,147.3836600,6.460000e-03,-6.460000e-03,0.869,0.077,-0.611,2.27100,0.20300,-0.20300,69.8,6.700e+00,-6.700e+00,0.73,0.05,-3.000e-02,489.0,,,13.55,3.08,-2.04,11.90,6,q1_q17_dr25_tce,4900.00,98.00,-98.00,4.602,0.017,-0.049,0.7410,0.0480,-0.0300,281.482730,47.208031,11.492
2571238,K00084.01,Kepler-19 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,9.286964466,3.8310000e-06,-3.8310000e-06,135.9945000,3.400000e-04,-3.400000e-04,0.004,0.340,-0.004,3.36490,0.01450,-0.01450,691.7,3.200e+00,-3.200e+00,2.10,0.26,-1.000e-01,762.0,,,79.68,28.10,-13.27,251.90,1,q1_q17_dr25_tce,5546.00,100.00,-111.00,4.575,0.018,-0.102,0.8100,0.0990,-0.0400,290.420810,37.851799,11.898
5866724,K00085.01,Kepler-65 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.859935955,3.7820000e-06,-3.7820000e-06,132.0405280,5.420000e-04,-5.420000e-04,0.049,0.281,-0.049,4.01850,0.01680,-0.01680,322.8,1.900e+00,-1.900e+00,2.56,0.10,-1.500e-01,1246.0,,,569.50,73.19,-93.40,186.70,1,q1_q17_dr25_tce,6181.00,68.00,-86.00,4.220,0.033,-0.027,1.4240,0.0560,-0.0850,288.688690,41.151180,11.018
5866724,K00085.02,Kepler-65 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,2.154911236,2.5070000e-06,-2.5070000e-06,133.4986130,9.390000e-04,-9.390000e-04,0.113,0.345,-0.113,3.13410,0.02700,-0.02700,99.7,1.400e+00,-1.400e+00,1.42,0.06,-8.000e-02,1740.0,,,2162.35,277.92,-354.64,83.00,2,q1_q17_dr25_tce,6181.00,68.00,-86.00,4.220,0.033,-0.027,1.4240,0.0560,-0.0850,288.688690,41.151180,11.018
5866724,K00085.03,Kepler-65 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,8.131213890,1.9020000e-05,-1.9020000e-05,137.9925400,1.880000e-03,-1.880000e-03,0.622,0.059,-0.457,4.23860,0.05540,-0.05540,111.8,2.200e+00,-2.200e+00,1.58,0.06,-1.000e-01,1117.0,,,368.36,47.34,-60.42,55.30,3,q1_q17_dr25_tce,6181.00,68.00,-86.00,4.220,0.033,-0.027,1.4240,0.0560,-0.0850,288.688690,41.151180,11.018
10593626,K00087.01,Kepler-22 b,CONFIRMED,CANDIDATE,0.8810,0,0,0,0,289.864067000,1.2100000e-03,-1.2100000e-03,133.6971900,2.140000e-03,-2.140000e-03,0.856,0.043,-0.649,7.56500,0.10800,-0.10800,529.1,1.050e+01,-1.050e+01,2.34,0.22,-2.300e-01,257.0,,,1.03,0.26,-0.24,57.40,1,q1_q17_dr25_tce,5516.00,82.00,-74.00,4.446,0.104,-0.064,0.8860,0.0800,-0.0890,289.217500,47.884460,11.664
8056665,K00089.01,Kepler-462 b,CONFIRMED,CANDIDATE,0.8810,0,0,0,0,84.687752400,1.7780000e-04,-1.7780000e-04,150.5708400,1.720000e-03,-1.720000e-03,0.017,0.303,-0.017,10.02480,0.05200,-0.05200,347.7,4.100e+00,-4.100e+00,3.37,0.58,-7.800e-01,611.0,,,32.96,15.80,-15.16,95.10,1,q1_q17_dr25_tce,6688.00,120.00,-147.00,4.062,0.174,-0.116,1.7900,0.3110,-0.4150,299.821170,43.814270,11.642
8056665,K00089.02,Kepler-462 c,CONFIRMED,CANDIDATE,0.9970,0,0,0,0,207.582930600,5.7370000e-04,-5.7370000e-04,289.8831100,2.040000e-03,-2.040000e-03,0.840,0.031,-0.572,7.06860,0.08660,-0.08660,505.1,7.600e+00,-7.600e+00,4.52,0.79,-1.040e+00,453.0,,,9.97,4.79,-4.58,70.00,2,q1_q17_dr25_tce,6688.00,120.00,-147.00,4.062,0.174,-0.116,1.7900,0.3110,-0.4150,299.821170,43.814270,11.642
7941200,K00092.01,Kepler-1709 b,CONFIRMED,CANDIDATE,0.9720,0,0,0,0,65.704527500,1.0610000e-04,-1.0610000e-04,137.4427500,1.400000e-03,-1.400000e-03,0.663,0.197,-0.434,3.31040,0.04690,-0.04690,636.1,1.030e+01,-1.030e+01,2.78,0.42,-2.500e-01,472.0,,,11.72,4.96,-2.80,70.40,1,q1_q17_dr25_tce,5918.00,106.00,-130.00,4.403,0.080,-0.120,1.0430,0.1580,-0.0920,283.374820,43.788219,11.667
6462863,K00094.01,Kepler-89 d,CONFIRMED,CANDIDATE,0.9940,0,0,0,0,22.342964828,3.4040000e-06,-3.4040000e-06,132.7416410,1.280000e-04,-1.280000e-04,0.031,0.045,-0.031,6.66405,0.00390,-0.00390,5612.8,5.300e+00,-5.300e+00,9.99,1.82,-1.500e+00,785.0,,,89.61,44.96,-30.27,1118.90,1,q1_q17_dr25_tce,6181.00,111.00,-135.00,4.234,0.143,-0.117,1.3310,0.2430,-0.1990,297.333070,41.891121,12.205
6462863,K00094.02,Kepler-89 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.423677439,7.1730000e-06,-7.1730000e-06,138.0090410,5.840000e-04,-5.840000e-04,0.005,0.299,-0.005,5.22570,0.02100,-0.02100,777.3,4.100e+00,-4.100e+00,3.72,0.67,-5.600e-01,1012.0,,,247.48,124.16,-83.60,204.40,3,q1_q17_dr25_tce,6181.00,111.00,-135.00,4.234,0.143,-0.117,1.3310,0.2430,-0.1990,297.333070,41.891121,12.205
6462863,K00094.03,Kepler-89 e,CONFIRMED,CANDIDATE,0.9530,0,0,0,0,54.319961510,3.3910000e-05,-3.3910000e-05,161.2398690,5.030000e-04,-5.030000e-04,0.497,0.005,-0.357,8.58580,0.02430,-0.02430,1975.0,7.200e+00,-7.200e+00,6.07,1.11,-9.100e-01,584.0,,,27.40,13.75,-9.25,291.30,2,q1_q17_dr25_tce,6181.00,111.00,-135.00,4.234,0.143,-0.117,1.3310,0.2430,-0.1990,297.333070,41.891121,12.205
6462863,K00094.04,Kepler-89 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,3.743166733,5.6140000e-06,-5.6140000e-06,131.6196700,1.420000e-03,-1.420000e-03,0.008,0.392,-0.008,3.68880,0.04210,-0.04210,126.3,2.200e+00,-2.200e+00,1.50,0.27,-2.300e-01,1423.0,,,971.76,487.50,-328.28,47.20,4,q1_q17_dr25_tce,6181.00,111.00,-135.00,4.234,0.143,-0.117,1.3310,0.2430,-0.1990,297.333070,41.891121,12.205
5780885,K00097.01,Kepler-7 b,CONFIRMED,CANDIDATE,0.9990,0,1,0,0,4.885488596,2.6600000e-07,-2.6600000e-07,134.2768785,4.530000e-05,-4.530000e-05,0.361,0.014,-0.017,5.16165,0.00597,-0.00597,7458.4,3.700e+00,-3.700e+00,16.66,1.04,-7.000e-01,1496.0,,,1182.79,223.79,-147.95,2590.10,1,q1_q17_dr25_tce,6036.00,78.00,-72.00,3.968,0.020,-0.016,1.9090,0.1200,-0.0800,288.581510,41.089809,12.885
10264660,K00098.01,Kepler-14 b,CONFIRMED,CANDIDATE,0.9940,0,0,0,0,6.790120801,1.9050000e-06,-1.9050000e-06,138.0881990,2.310000e-04,-2.310000e-04,0.486,0.051,-0.095,6.04370,0.02850,-0.02850,2302.3,5.700e+00,-5.700e+00,9.86,0.72,-3.600e-01,1434.0,,,998.97,206.95,-122.30,526.10,1,q1_q17_dr25_tce,6372.00,76.00,-89.00,3.954,0.020,-0.020,2.0010,0.1460,-0.0730,287.708830,47.333050,12.128
